"0","# Record demographics of actual sample"
"0","## Age"
"0","data$age <- data$age %>% "
"0","  as.numeric()"
"0","dem.age <- data %>%"
"0","  count(age)"
"0",""
"0","## Gender"
"0","dem.gender <- data %>%"
"0","  count(gender)"
"0",""
"0","## Race"
"0","dem.race <- data %>%"
"0","  count(race)"
"0",""
"0","## Education"
"0","data$education <- data$education %>% "
"0","  factor(levels = c(""Less than high school"","
"0","                    ""High school/GED"","
"0","                    ""Some college"","
"0","                    ""Bachelor's (B.A., B.S.)"","
"0","                    ""Master's (M.A., M.S.)"","
"0","                    ""Doctoral (Ph.D., J.D., M.D.)"","
"0","                    ""Prefer not to specify""))"
"0","dem.education <- data %>%"
"0","  count(education)"
"0",""
"0","## Socio-economic status (SES) #fixme: Qualtrics renamed labels"
"0","data$ses <- data$ses %>% "
"0","  factor(levels = c(""Poor"","
"0","                    ""Working class"","
"0","                    ""Middle class"","
"0","                    ""Affluent"","
"0","                    ""Prefer not to specify""))"
"0","dem.ses <- data %>%"
"0","  count(ses)"
"0",""
